,federal_district_type,federal_district,region_type,region,city_type,city,population
0,ФО,Центральный,,,г,Москва,11514330
1,ФО,Центральный,обл,Московская,г,Люберцы,171978
2,ФО,Центральный,обл,Московская,г,Котельники,32347
3,ФО,Центральный,обл,Московская,г,Лыткарино,55147
4,ФО,Центральный,обл,Московская,г,Дзержинский,47125
5,ФО,Центральный,обл,Московская,г,Раменское,96355
6,ФО,Центральный,обл,Московская,г,Бронницы,21102
7,ФО,Центральный,обл,Московская,г,Жуковский,102729
8,ФО,Центральный,обл,Московская,г,Воскресенск,91301
9,ФО,Центральный,обл,Московская,г,Белоозёрский,17842
10,ФО,Центральный,обл,Московская,г,Егорьевск,70133
11,ФО,Центральный,обл,Московская,г,Коломна,144642
12,ФО,Центральный,обл,Московская,г,Луховицы,29849
13,ФО,Центральный,обл,Московская,г,Озёры,25788
14,ФО,Центральный,обл,Московская,г,Зарайск,24648
15,ФО,Центральный,обл,Московская,г,Шатура,32836
16,ФО,Центральный,обл,Московская,г,Рошаль,21265
17,ФО,Центральный,обл,Московская,г,Мытищи,173341
18,ФО,Центральный,обл,Московская,г,Лобня,74350
19,ФО,Центральный,обл,Московская,г,Королёв,183452
20,ФО,Центральный,обл,Московская,г,Щёлково,110380
21,ФО,Центральный,обл,Московская,г,Лосино-Петровский,22550
22,ФО,Центральный,обл,Московская,г,Фрязино,55449
23,ФО,Центральный,обл,Московская,г,Пушкино,102840
24,ФО,Центральный,обл,Московская,г,Ивантеевка,58594
25,ФО,Центральный,обл,Московская,г,Красноармейск,26294
26,ФО,Центральный,обл,Московская,г,Сергиев Посад,110878
27,ФО,Центральный,обл,Московская,г,Пересвет,14142
28,ФО,Центральный,обл,Московская,г,Краснозаводск,13432
29,ФО,Центральный,обл,Московская,г,Хотьково,21612
30,ФО,Центральный,обл,Московская,г,Химки,207125
31,ФО,Центральный,обл,Московская,г,Солнечногорск,52996
32,ФО,Центральный,обл,Московская,г,Клин,80584
33,ФО,Центральный,обл,Московская,г,Высоковск,10642
34,ФО,Центральный,обл,Московская,г,Долгопрудный,90976
35,ФО,Центральный,обл,Московская,г,Дмитров,61454
36,ФО,Центральный,обл,Московская,г,Яхрома,13248
37,ФО,Центральный,обл,Московская,г,Талдом,13819
38,ФО,Центральный,обл,Московская,г,Дубна,70569
39,ФО,Центральный,обл,Московская,г,Домодедово,96123
40,ФО,Центральный,обл,Московская,г,Подольск,187956
41,ФО,Центральный,обл,Московская,г,Серпухов,126496
42,ФО,Центральный,обл,Московская,г,Протвино,37308
43,ФО,Центральный,обл,Московская,г,Пущино,20263
44,ФО,Центральный,обл,Московская,г,Чехов,60677
45,ФО,Центральный,обл,Московская,г,Ногинск,99762
46,ФО,Центральный,обл,Московская,г,Черноголовка,20986
47,ФО,Центральный,обл,Московская,г,Старая Купавна,21859
48,ФО,Центральный,обл,Московская,г,Электроугли,20120
49,ФО,Центральный,обл,Московская,г,Павловский Посад,63771
50,ФО,Центральный,обл,Московская,г,Электрогорск,22120
51,ФО,Центральный,обл,Московская,г,Орехово-Зуево,120620
52,ФО,Центральный,обл,Московская,г,Куровское,21821
53,ФО,Центральный,обл,Московская,г,Дрезна,11815
54,ФО,Центральный,обл,Московская,г,Ликино-Дулёво,31331
55,ФО,Центральный,обл,Московская,г,Видное,56798
56,ФО,Центральный,обл,Московская,г,Ступино,66942
57,ФО,Центральный,обл,Московская,г,Кашира,41880
58,ФО,Центральный,обл,Московская,г,Одинцово,139021
59,ФО,Центральный,обл,Московская,г,Голицыно,17447
60,ФО,Центральный,обл,Московская,г,Кубинка,22918
61,ФО,Центральный,обл,Московская,г,Краснознаменск,36057
62,ФО,Центральный,обл,Московская,г,Руза,13495
63,ФО,Центральный,обл,Московская,г,Звенигород,16395
64,ФО,Центральный,обл,Московская,г,Можайск,31388
65,ФО,Центральный,обл,Московская,г,Наро-Фоминск,64640
66,ФО,Центральный,обл,Московская,г,Верея,5368
67,ФО,Центральный,обл,Московская,г,Апрелевка,18467
68,ФО,Центральный,обл,Московская,г,Красногорск,116738
69,ФО,Центральный,обл,Московская,г,Истра,35106
70,ФО,Центральный,обл,Московская,г,Дедовск,29280
71,ФО,Центральный,обл,Московская,г,Волоколамск,23386
72,ФО,Центральный,обл,Московская,г,Балашиха,215353
73,ФО,Центральный,обл,Московская,г,Реутов,87195
74,ФО,Центральный,обл,Московская,г,Электросталь,155324
75,ФО,Центральный,обл,Ярославская,г,Ярославль,591486
76,ФО,Центральный,обл,Ярославская,г,Переславль-Залесский,41923
77,ФО,Центральный,обл,Ярославская,г,Данилов,15861
78,ФО,Центральный,обл,Ярославская,г,Ростов,31791
79,ФО,Центральный,обл,Ярославская,г,Гаврилов-Ям,17792
80,ФО,Центральный,обл,Ярославская,г,Тутаев,41001
81,ФО,Центральный,обл,Ярославская,г,Любим,5553
82,ФО,Центральный,обл,Ярославская,г,Углич,34505
83,ФО,Центральный,обл,Ярославская,г,Мышкин,5932
84,ФО,Центральный,обл,Ярославская,г,Пошехонье,6085
85,ФО,Центральный,обл,Ярославская,г,Рыбинск,200771
86,ФО,Центральный,обл,Ивановская,г,Иваново,409277
87,ФО,Центральный,обл,Ивановская,г,Кохма,29408
88,ФО,Центральный,обл,Ивановская,г,Гаврилов Посад,6434
89,ФО,Центральный,обл,Ивановская,г,Тейково,34993
90,ФО,Центральный,обл,Ивановская,г,Комсомольск,8693
91,ФО,Центральный,обл,Ивановская,г,Родники,26318
92,ФО,Центральный,обл,Ивановская,г,Вичуга,37609
93,ФО,Центральный,обл,Ивановская,г,Пучеж,8583
94,ФО,Центральный,обл,Ивановская,г,Заволжск,12045
95,ФО,Центральный,обл,Ивановская,г,Юрьевец,10205
96,ФО,Центральный,обл,Ивановская,г,Фурманов,36149
97,ФО,Центральный,обл,Ивановская,г,Приволжск,16749
98,ФО,Центральный,обл,Ивановская,г,Плес,2341
99,ФО,Центральный,обл,Ивановская,г,Южа,14170
100,ФО,Центральный,обл,Ивановская,г,Кинешма,88113
101,ФО,Центральный,обл,Ивановская,г,Наволоки,10207
102,ФО,Центральный,обл,Ивановская,г,Шуя,58528
103,ФО,Центральный,обл,Костромская,г,Кострома,268617
104,ФО,Центральный,обл,Костромская,г,Волгореченск,17108
105,ФО,Центральный,обл,Костромская,г,Буй,25763
106,ФО,Центральный,обл,Костромская,г,Чухлома,5209
107,ФО,Центральный,обл,Костромская,г,Солигалич,6438
108,ФО,Центральный,обл,Костромская,г,Галич,17346
109,ФО,Центральный,обл,Костромская,г,Мантурово,17479
110,ФО,Центральный,обл,Костромская,г,Нея,9827
111,ФО,Центральный,обл,Костромская,г,Кологрив,3314
112,ФО,Центральный,обл,Костромская,г,Макарьев,7114
113,ФО,Центральный,обл,Костромская,г,Шарья,23668
114,ФО,Центральный,обл,Костромская,г,Нерехта,22817
115,ФО,Северо-Западный,обл,Вологодская,г,Вологда,301642
116,ФО,Северо-Западный,обл,Вологодская,г,Кириллов,7735
117,ФО,Северо-Западный,обл,Вологодская,г,Белозерск,9614
118,ФО,Северо-Западный,обл,Вологодская,г,Тотьма,9784
119,ФО,Северо-Западный,обл,Вологодская,г,Никольск,8515
120,ФО,Северо-Западный,обл,Вологодская,г,Грязовец,15528
121,ФО,Северо-Западный,обл,Вологодская,г,Кадников,4797
122,ФО,Северо-Западный,обл,Вологодская,г,Сокол,38454
123,ФО,Северо-Западный,обл,Вологодская,г,Харовск,10078
124,ФО,Северо-Западный,обл,Вологодская,г,Красавино,7003
125,ФО,Северо-Западный,обл,Вологодская,г,Великий Устюг,31664
126,ФО,Северо-Западный,обл,Вологодская,г,Бабаево,12074
127,ФО,Северо-Западный,обл,Вологодская,г,Череповец,312311
128,ФО,Северо-Западный,обл,Вологодская,г,Устюжна,9478
129,ФО,Северо-Западный,обл,Вологодская,г,Вытегра,10490
130,ФО,Северо-Западный,обл,Архангельская,г,Архангельск,348716
131,ФО,Северо-Западный,обл,Архангельская,г,Каргополь,10148
132,ФО,Северо-Западный,обл,Архангельская,г,Мирный,30259
133,ФО,Северо-Западный,обл,Архангельская,г,Няндома,22354
134,ФО,Северо-Западный,обл,Архангельская,г,Северодвинск,192265
135,ФО,Северо-Западный,обл,Архангельская,г,Мезень,3599
136,ФО,Северо-Западный,обл,Архангельская,г,Онега,21359
137,ФО,Северо-Западный,обл,Архангельская,г,Новодвинск,40612
138,ФО,Северо-Западный,обл,Архангельская,г,Вельск,23885
139,ФО,Северо-Западный,обл,Архангельская,г,Шенкурск,5702
140,ФО,Северо-Западный,обл,Архангельская,г,Котлас,60562
141,ФО,Северо-Западный,обл,Архангельская,г,Сольвычегодск,2460
142,ФО,Северо-Западный,обл,Архангельская,г,Коряжма,39629
143,ФО,Северо-Западный,АО,Ненецкий,г,Нарьян-Мар,21296
144,ФО,Северо-Западный,Респ,Коми,г,Сыктывкар,235006
145,ФО,Северо-Западный,Респ,Коми,г,Микунь,10732
